quaternion (w),quaternion (x),quaternion (y),quaternion (z),gyroscope bias (x),gyroscope bias (y),gyroscope bias (z),magnetometer bias (x),magnetometer bias (y),magnetometer bias (z),time
-0.5481248513272785,-0.024177186149362147,0.022552090886093907,-0.8357427919067046,0.006156469263274241,-0.018016643828650734,1.8061743905246477e-05,4.303755980426587e-05,-0.00018939268417978737,2.417527138801459e-07,79.94
-0.5482119309579276,-0.0231459822799476,0.02271613604009999,-0.8357104279731613,0.006156469263274241,-0.018016643828650734,1.8061743905246477e-05,4.303755980426587e-05,-0.00018939268417978737,2.417527138801459e-07,79.94
-0.5674320467832615,-0.019792964897801517,0.02545049266018777,-0.8227887841039563,0.00590352768223654,-0.01842471596633264,4.6544514159855933e-05,4.5129052274435304e-05,-0.00019307439161790613,1.1203091577104511e-07,80.94
-0.5674298998547535,-0.019295763257129037,0.02473141402228315,-0.8228240027075094,0.00590352768223654,-0.01842471596633264,4.6544514159855933e-05,4.5129052274435304e-05,-0.00019307439161790613,1.1203091577104511e-07,80.94
-0.5837594252192075,-0.01623594076954533,0.0278248862668057,-0.811287312485107,0.005598860059637453,-0.01879837333323674,7.575020992064852e-05,4.7255460317576734e-05,-0.00019661018166383692,-1.1726431770681064e-08,81.93999999999998
-0.5837011331445142,-0.015098649397978623,0.027643585808310448,-0.8113574120668559,0.005598860059637453,-0.01879837333323674,7.575020992064852e-05,4.7255460317576734e-05,-0.00019661018166383692,-1.1726431770681064e-08,81.93999999999998
-0.5994211610899446,-0.012389551949870094,0.030432625520879802,-0.7997591049459644,0.005232668928355744,-0.019138509342804054,0.00010643256746669463,4.944271169357187e-05,-0.00020003111298126964,-1.307890202181971e-07,82.93999999999998
-0.599576471353656,-0.011106439949357907,0.030039268032490875,-0.7996763997810752,0.005232668928355744,-0.019138509342804054,0.00010643256746669463,4.944271169357187e-05,-0.00020003111298126964,-1.307890202181971e-07,82.93999999999998
-0.6299814843125506,-0.0004948546406875482,0.04155549490118731,-0.7754974051444384,0.004700450258282253,-0.019345600695952814,0.00013776337632434975,5.152523473323777e-05,-0.0002028979263027128,-2.294910124974476e-07,83.93999999999998
-0.6300175961945096,0.00011817045391373676,0.041120656223936264,-0.7754913965691357,0.004700450258282253,-0.019345600695952814,0.00013776337632434975,5.152523473323777e-05,-0.0002028979263027128,-2.294910124974476e-07,83.93999999999998
-0.6506904244137426,0.006534969561891404,0.048413485382452416,-0.757770018001644,0.004075848523369126,-0.019491723925407132,0.0001676082654264902,5.354472717093272e-05,-0.00020545924563652367,-3.105513390371273e-07,84.93999999999998
-0.6506968391696931,0.0073694011526138255,0.0477342383587977,-0.757799945836319,0.004075848523369126,-0.019491723925407132,0.0001676082654264902,5.354472717093272e-05,-0.00020545924563652367,-3.105513390371273e-07,84.93999999999998
-0.6617235273822852,0.009380832393768274,0.05127822079142154,-0.7479334979560763,0.003419055246226707,-0.01961822605977092,0.00019628284847181068,5.55192902366893e-05,-0.00020787204335767818,-3.8290458937557435e-07,85.93999999999998
-0.6618886178696866,0.010298239737729928,0.05060891809827639,-0.7478209285663129,0.003419055246226707,-0.01961822605977092,0.00019628284847181068,5.55192902366893e-05,-0.00020787204335767818,-3.8290458937557435e-07,85.93999999999998
-0.6603376586192098,0.007069766788244917,0.05144950826845057,-0.7491709705439702,0.0028061899729875323,-0.019769976981260283,0.0002242534229683147,5.74056931497631e-05,-0.00021020429890003382,-4.598607342177258e-07,86.93999999999998
-0.6603126831366524,0.008099748586148174,0.05094476029884028,-0.7492170486313093,0.0028061899729875323,-0.019769976981260283,0.0002242534229683147,5.74056931497631e-05,-0.00021020429890003382,-4.598607342177258e-07,86.93999999999998
-0.6534451641599087,0.003368049882108637,0.05080199565648832,-0.7552597109030373,0.0022182802537799966,-0.019965742876625676,0.00025328116887999577,5.926703139252935e-05,-0.00021258389263388507,-5.453985575195817e-07,87.93999999999998
-0.6534623707733648,0.004250226274538687,0.05033715544578355,-0.7552714984305287,0.0022182802537799966,-0.019965742876625676,0.00025328116887999577,5.926703139252935e-05,-0.00021258389263388507,-5.453985575195817e-07,87.93999999999998
-0.6001946615759066,-0.018010568907961252,0.0303234295006366,-0.7990760146861591,0.0019863680045179096,-0.020285071849663987,0.0002743630156692632,6.107982785433553e-05,-0.0002149745889144168,-5.594542192524237e-07,88.93999999999998
-0.6166885639211833,-0.022211264336081133,0.03567971644375031,-0.7860844946314072,0.0019863680045179096,-0.020285071849663987,0.0002743630156692632,6.107982785433553e-05,-0.0002149745889144168,-5.594542192524237e-07,88.93999999999998
-0.5834919074182151,-0.029021168303044,0.04449275430316853,-0.8103797631865554,0.0016700279482398219,-0.020744391599239683,0.00030038183484089304,6.261818352461455e-05,-0.0002172837365972246,-6.067150714197296e-07,89.93999999999998
-0.5772759001406537,-0.012370907863380338,0.038127401909781686,-0.8155647104792139,0.0016700279482398219,-0.020744391599239683,0.00030038183484089304,6.261818352461455e-05,-0.0002172837365972246,-6.067150714197296e-07,89.93999999999998
-0.5816927778352564,-0.013569358919732192,0.04588036177954131,-0.8120002322141225,0.0012478321957547227,-0.021096445301501163,0.0003382267222608909,6.434425630480626e-05,-0.00021991640174392894,-7.091015832515099e-07,90.93999999999998
-0.5836800664199782,-0.01573170972377689,0.04779509222392334,-0.8104231749724604,0.0012478321957547227,-0.021096445301501163,0.0003382267222608909,6.434425630480626e-05,-0.00021991640174392894,-7.091015832515099e-07,90.93999999999998
-0.5691568650410935,-0.021369037410912558,0.05278007995267535,-0.8202548935403644,0.0008409994605193313,-0.0215119301874656,0.0003742151666258095,6.58911693110686e-05,-0.00022231081540578855,-8.063959267460879e-07,91.93999999999998
-0.5687624026359839,-0.020585541316827303,0.05380842383524742,-0.8204816989798143,0.0008409994605193313,-0.0215119301874656,0.0003742151666258095,6.58911693110686e-05,-0.00022231081540578855,-8.063959267460879e-07,91.93999999999998
-0.5580107738405863,-0.024491926709322424,0.056219656167461864,-0.8275647842098572,0.0003787518598008691,-0.02201532528776959,0.0004158210025924246,6.747860415956406e-05,-0.00022488086408548193,-9.20319464049475e-07,92.93999999999998
-0.5579500303947845,-0.02235921626704734,0.05458816333392207,-0.8277753085555352,0.0003787518598008691,-0.02201532528776959,0.0004158210025924246,6.747860415956406e-05,-0.00022488086408548193,-9.20319464049475e-07,92.93999999999998
-0.5445848839053247,-0.02722543550338552,0.05775935086444506,-0.8362714495133701,-5.692086567890374e-05,-0.022525687928820086,0.0004570399204810021,6.895308775587997e-05,-0.00022738678492489336,-1.036289914271636e-06,93.93999999999998
-0.5442921218726642,-0.027255637462070114,0.0573460575006815,-0.8364894775088433,-5.692086567890374e-05,-0.022525687928820086,0.0004570399204810021,6.895308775587997e-05,-0.00022738678492489336,-1.036289914271636e-06,93.93999999999998
-0.5302016330783953,-0.031585968519632114,0.05840708953825256,-0.845267511954263,-0.0005011330095046635,-0.023113729255018797,0.0005007072737497044,7.042036683916848e-05,-0.0002300248275335058,-1.1567532506859426e-06,94.93999999999998
-0.5301189202839441,-0.030263891302320385,0.0575554854550508,-0.8454261607818034,-0.0005011330095046635,-0.023113729255018797,0.0005007072737497044,7.042036683916848e-05,-0.0002300248275335058,-1.1567532506859426e-06,94.93999999999998
-0.5183088710389336,-0.03469700923638229,0.05799895770202374,-0.8525187110309517,-0.0009236136260529961,-0.02373246808400655,0.0005446929993184516,7.184157412914874e-05,-0.00023269490818393027,-1.276975139583172e-06,95.93999999999998
-0.5183007020068646,-0.034311291261070846,0.0576320862902603,-0.8525641678026475,-0.0009236136260529961,-0.02373246808400655,0.0005446929993184516,7.184157412914874e-05,-0.00023269490818393027,-1.276975139583172e-06,95.93999999999998
-0.5082370714428404,-0.037659991738266944,0.05780267627698069,-0.8584495645340484,-0.0013439744036077442,-0.024406486237847594,0.0005900997765486588,7.32628817950263e-05,-0.00023545775388223708,-1.3979106765302125e-06,96.93999999999998
